council_name,development_type,application_status,application_count,total_development_cost,average_development_cost,latest_source_updated_at
Albury City Council,Alterations and additions to commercial development,Determined,3,183315.0,61105.0,2026-03-22 08:43:47.85
Albury City Council,Alterations and additions to industrial development,Determined,1,25000.0,25000.0,2026-03-28 23:53:30.063
Albury City Council,Alterations and additions to residential development,Determined,3,793615.0,264538.3333333333,2026-03-28 23:48:56.51
Albury City Council,Attached dwelling,Determined,1,2567000.0,2567000.0,2026-03-20 22:48:58.93
Albury City Council,"Balconies, decks, patios, terraces or verandahs",Determined,7,132634.0,18947.714285714286,2026-03-28 23:48:56.51
Albury City Council,Centre based childcare,Determined,1,2000000.0,2000000.0,2026-03-20 23:09:28.533
Albury City Council,Change of use,Determined,1,25000.0,25000.0,2026-03-28 23:53:30.063
Albury City Council,Demolition,Determined,3,1572571.7,524190.56666666665,2026-03-22 07:35:13.337
Albury City Council,Dual occupancy,Determined,2,1133571.7,566785.85,2026-03-20 22:38:38.19
Albury City Council,Dwelling,Determined,17,6679809.13,392929.9488235294,2026-03-28 23:51:38.8
Albury City Council,Earthworks / change in levels,Determined,2,1026900.0,513450.0,2026-03-22 07:35:13.337
Albury City Council,Entertainment facility,Determined,2,3954860.0,1977430.0,2026-03-28 23:43:01.577
Albury City Council,"Garages, carports and car parking spaces",Determined,4,2628679.0,657169.75,2026-03-28 23:48:56.51
Albury City Council,"Garages, carports and car parking spaces",Rejected,1,9985.0,9985.0,2026-03-22 08:33:28.497
Albury City Council,Industrial development,Determined,3,1630747.0,543582.3333333334,2026-03-20 23:24:59.84
Albury City Council,Multi-dwelling housing,Determined,2,3117000.0,1558500.0,2026-03-22 07:35:13.337
Albury City Council,Other,Determined,2,102478.0,51239.0,2026-03-20 22:41:34.867
Albury City Council,Other,Withdrawn,1,1000.0,1000.0,2026-03-20 22:54:42.31
Albury City Council,Pools / decks / fencing,Determined,3,286615.0,95538.33333333333,2026-03-22 08:39:13.33
Albury City Council,Retail premises ,Determined,1,30000.0,30000.0,2026-03-20 22:33:00.467
Albury City Council,"Retaining walls, protection of trees",Determined,3,335901.0,111967.0,2026-03-22 07:37:36.737
Albury City Council,Secondary dwelling,Determined,1,235615.0,235615.0,2026-03-20 22:48:18.92
Albury City Council,Shed,Determined,15,1342573.0,89504.86666666667,2026-03-22 08:40:44.143
Albury City Council,Shed,Rejected,1,36463.0,36463.0,2026-03-22 08:32:26.04
Albury City Council,Shed,Withdrawn,1,31510.0,31510.0,2026-03-28 22:03:11.6
Albury City Council,Signage,Determined,1,30000.0,30000.0,2026-03-20 22:33:00.467
Albury City Council,Stratum / community title subdivision,Determined,2,679000.0,339500.0,2026-03-22 07:35:13.337
Albury City Council,Subdivision of land,Determined,5,1004571.7,200914.34,2026-03-20 23:25:07.033
Albury City Council,Waste and resource management facilities ,Determined,1,5000.0,5000.0,2026-03-20 23:10:27.76
Ballina Shire Council,"Balconies, decks, patios, terraces or verandahs",Determined,1,150000.0,150000.0,2026-03-22 08:11:04.73
Ballina Shire Council,Dwelling,Determined,2,761000.0,380500.0,2026-03-22 08:16:28.52
Ballina Shire Council,"Garages, carports and car parking spaces",Determined,1,150000.0,150000.0,2026-03-22 08:11:04.73
Ballina Shire Council,Pools / decks / fencing,Determined,3,382000.0,127333.33333333333,2026-03-28 21:56:05.503
Ballina Shire Council,"Retaining walls, protection of trees",Determined,1,10000.0,10000.0,2026-03-28 21:56:27.167
