council_name,application_status,application_type,application_count,total_development_cost,average_development_cost,latest_source_updated_at
Albury City Council,Determined,Development Application,59,14652771.129999999,248352.05305084743,2026-03-28 23:53:30.063
Albury City Council,Determined,Modification Application,4,3964860.0,991215.0,2026-03-28 23:43:01.577
Albury City Council,Rejected,Development Application,2,46448.0,23224.0,2026-03-22 08:33:28.497
Albury City Council,Withdrawn,Development Application,2,32510.0,16255.0,2026-03-28 22:03:11.6
Ballina Shire Council,Determined,Development Application,6,703000.0,117166.66666666667,2026-03-28 21:56:27.167
Ballina Shire Council,Determined,Modification Application,1,300000.0,300000.0,2026-03-22 08:11:25.74
Bathurst Regional Council,Determined,Development Application,19,4719039.21,248370.4847368421,2026-03-28 23:52:37.31
Bathurst Regional Council,Determined,Modification Application,2,230000.0,230000.0,2026-03-28 21:56:45.783
Bayside Council,Determined,Development Application,31,162809064.4,5251905.303225807,2026-03-28 23:52:12.14
Bayside Council,Determined,Modification Application,9,52162500.0,6520312.5,2026-03-28 23:48:10.24
Bayside Council,Under Assessment,Development Application,1,24661410.0,24661410.0,2026-03-20 23:20:14.39
Bayside Council,Withdrawn,Development Application,6,3566401.28,594400.2133333333,2026-03-28 23:48:42.21
Bayside Council,Withdrawn,Modification Application,1,,,2026-03-22 07:52:18.607
Bega Valley Shire Council,Determined,Development Application,1,480000.0,480000.0,2026-03-28 23:52:39.147
Blacktown City Council,Additional Information Requested,Modification Application,1,0.0,0.0,2026-03-20 22:26:23.9
Blacktown City Council,Deferred Commencement,Development Application,1,1132300.0,1132300.0,2026-03-20 23:12:03.43
Blacktown City Council,Determined,Development Application,197,67375576.17,342008.0008629442,2026-03-28 23:50:04.14
Blacktown City Council,Determined,Modification Application,42,39071923.0,1953596.15,2026-03-28 23:51:33.263
Blacktown City Council,Determined,Review of determination,1,262268.0,262268.0,2026-03-20 22:43:46.95
Blacktown City Council,Rejected,Development Application,3,130000.0,43333.333333333336,2026-03-20 23:11:55.63
Blacktown City Council,Under Assessment,Development Application,1,16859420.0,16859420.0,2026-03-22 07:34:25.657
Blacktown City Council,Under Assessment,Modification Application,1,1500000.0,1500000.0,2026-03-20 23:20:35.523
Blacktown City Council,Withdrawn,Development Application,7,4432562.0,633223.1428571428,2026-03-22 08:26:11.437
Blacktown City Council,Withdrawn,Modification Application,3,0.0,0.0,2026-03-28 23:38:00.9
Bland Shire Council,Determined,Development Application,1,600000.0,600000.0,2026-03-22 07:25:23.763
Blayney Shire Council,Determined,Development Application,2,73280.0,36640.0,2026-03-28 21:56:37.097
Blayney Shire Council,Withdrawn,Development Application,1,550000.0,550000.0,2026-03-22 07:37:19.587
